"CSV for general cost profile"
"Clock (seconds)"
Solids   ,Shells   ,Tshells  ,Beams    ,SPH      ,Time-Step,Contact  ,Rigid-Bdy,Others   ,Misc1    ,Misc2    ,Misc3    ,Misc4    
0.000000000E+00,0.588886201E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.148016497E+00,0.866334662E-01,0.399248824E-01,0.134402007E+00,0.176705882E+00,0.459077321E-01,0.892871189E+01,0.226594329E+00
0.000000000E+00,0.628489137E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.101497628E+00,0.798036531E-01,0.386298709E-01,0.148960546E+00,0.181795925E+00,0.464971699E-01,0.892069721E+01,0.228387326E+00
0.000000000E+00,0.594891846E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.144695148E+00,0.784835145E-01,0.387471132E-01,0.134967148E+00,0.196774080E+00,0.464494303E-01,0.892775822E+01,0.229208604E+00
0.000000000E+00,0.591741741E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.135180578E+00,0.875058025E-01,0.382764302E-01,0.151503980E+00,0.209165946E+00,0.456961654E-01,0.892441368E+01,0.227373764E+00
0.000000000E+00,0.629612803E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.106136754E+00,0.779419765E-01,0.388885438E-01,0.147427857E+00,0.181393504E+00,0.461669005E-01,0.892262363E+01,0.229750976E+00
0.000000000E+00,0.596196234E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.133084774E+00,0.767416283E-01,0.408205166E-01,0.138926372E+00,0.199320942E+00,0.458848029E-01,0.892617321E+01,0.230672434E+00
0.000000000E+00,0.590557039E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.141397312E+00,0.859737247E-01,0.387235060E-01,0.148746312E+00,0.197127134E+00,0.465435795E-01,0.892378902E+01,0.227488831E+00
0.000000000E+00,0.629541218E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.688262656E-01,0.881645083E-01,0.389827043E-01,0.171052814E+00,0.206643671E+00,0.462610461E-01,0.891540432E+01,0.230245277E+00
0.000000000E+00,0.592089772E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.136781067E+00,0.879761055E-01,0.382525288E-01,0.151361302E+00,0.176305518E+00,0.457664169E-01,0.892240238E+01,0.230763569E+00
0.000000000E+00,0.593627453E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.982234105E-01,0.865637958E-01,0.379467420E-01,0.161750630E+00,0.218494087E+00,0.455078259E-01,0.891564751E+01,0.226149395E+00
0.000000000E+00,0.629371583E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.100082338E+00,0.749969780E-01,0.395948254E-01,0.158402860E+00,0.185019240E+00,0.464491360E-01,0.892018890E+01,0.226945937E+00
0.000000000E+00,0.592990339E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.137206316E+00,0.875293836E-01,0.389124155E-01,0.153812394E+00,0.179039523E+00,0.461437218E-01,0.892312145E+01,0.229258209E+00
