Curveplot
CPU and Clock percentage(%)
processor ID
cpu/%
XY data
Solids    #pts=0000000048
  0.440000000000E+02  0.365399988368E-02
  0.450000000000E+02  0.423699989915E-02
  0.460000000000E+02  0.348800001666E-02
  0.470000000000E+02  0.496499985456E-02
  0.480000000000E+02  0.361700006761E-02
endcurve
Misc2     #pts=0000000048
  0.100000000000E+01  0.828000018373E-03
  0.200000000000E+01  0.775999971665E-03
  0.300000000000E+01  0.737999973353E-03
  0.400000000000E+01  0.752000021748E-03
  0.500000000000E+01  0.829999975394E-03
  0.600000000000E+01  0.748999998905E-03
  0.700000000000E+01  0.768000027165E-03
  0.800000000000E+01  0.746999983676E-03
  0.900000000000E+01  0.767000019550E-03
  0.100000000000E+02  0.777999986894E-03
  0.110000000000E+02  0.762999989092E-03
  0.120000000000E+02  0.740999996196E-03
  0.130000000000E+02  0.736000016332E-03
  0.140000000000E+02  0.720000010915E-03
  0.150000000000E+02  0.794999999925E-03
  0.160000000000E+02  0.776999979280E-03
  0.170000000000E+02  0.761999981478E-03
  0.180000000000E+02  0.730000028852E-03
  0.190000000000E+02  0.740999996196E-03
  0.200000000000E+02  0.747999991290E-03
  0.210000000000E+02  0.752000021748E-03
  0.220000000000E+02  0.737999973353E-03
  0.230000000000E+02  0.783000024967E-03
  0.240000000000E+02  0.737000023946E-03
  0.250000000000E+02  0.783000024967E-03
  0.260000000000E+02  0.778999994509E-03
  0.270000000000E+02  0.729000021238E-03
  0.280000000000E+02  0.762999989092E-03
  0.290000000000E+02  0.771999999415E-03
  0.300000000000E+02  0.691000022925E-03
  0.310000000000E+02  0.776999979280E-03
  0.320000000000E+02  0.823999987915E-03
  0.330000000000E+02  0.767000019550E-03
  0.340000000000E+02  0.734000001103E-03
  0.350000000000E+02  0.760999973863E-03
  0.360000000000E+02  0.739999988582E-03
  0.370000000000E+02  0.776999979280E-03
  0.380000000000E+02  0.738999980967E-03
  0.390000000000E+02  0.761999981478E-03
  0.400000000000E+02  0.759000016842E-03
  0.410000000000E+02  0.722000026144E-03
  0.420000000000E+02  0.742000003811E-03
  0.430000000000E+02  0.774000014644E-03
  0.440000000000E+02  0.769999984186E-03
  0.450000000000E+02  0.751000014134E-03
  0.460000000000E+02  0.785999989603E-03
  0.470000000000E+02  0.780000002123E-03
